record_id	ref_annotations	test_annotations	matched_ref_inds	matched_test_inds	unmatched_ref_inds	unmatched_test_inds	true_positives	false_positives	false_negatives	specificity	positive_predictivity	fpr
16265	[       1       52      129 ... 10247715 10247823 10247936]	[      58      135      213 ... 10247720 10247829 10247941]	[     1      2      3 ... 100952 100953 100954]	[     0      1      2 ... 100243 100244 100245]	"[     0    479    488    509    519    840    842    844    846    848
    850    852    855    857    859    861    863    865    867    869
    871    873    875    877    879    881    883    886    888    890
    892    894    896    898    900    902    904    906    908    910
    912    915    917    918    923    925    927    930    931    933
    935    937    940    942    944    945    947    949    951    953
    955    957    959    961    963    965    982   1017   1025   1257
   1265   1363   1370   1395   1402   3638   4379   4387   4828   4911
   4919   5183   5191   5420   5429   5560   5568   5768   5769   5774
   5778   5780   5784   5791   5793   5794   5796   5798   5808   5933
   5960   5968   5971   5999   6019   6130   6138   6155   6157   6164
   6175   6198   6222   6695   6700   6704   7204   7211   7377   7386
   7426   7440   7841   7849   8445   8451   8943   8950   8961   8970
   8986   8994   8996   9008   9011   9031   9076   9081   9083   9088
   9105   9137   9146   9151   9379   9388   9603   9609   9659   9667
   9950   9958  10318  10339  10358  10378  10392  10420  10438  10446
  11139  11146  11538  11546  11749  11759  11791  11793  11797  11812
  12121  12128  12224  12233  12260  12277  12379  12389  12431  12447
  12460  12471  12704  12711  13017  13030  13944  13952  14028  14032
  14040  14042  14049  14055  14057  14059  14060  14062  14064  14066
  14068  14245  14254  14272  14293  14538  14549  14828  14837  14864
  14875  15027  15034  15464  15466  15474  15485  15491  15493  15495
  15496  15498  15500  15502  15504  15506  15508  15518  15536  15562
  16168  16176  16278  16287  16372  16379  16384  16398  16410  16413
  16415  16417  16457  16459  16461  16463  16465  16467  16469  16471
  16473  16475  16477  16479  16481  16483  16485  16487  16489  16491
  16493  16495  16497  16499  16501  16503  16505  16507  16509  16511
  16513  16515  16517  16519  16521  16523  16525  16527  16529  16531
  16532  16534  16536  16538  16541  17419  17431  17533  17542  17872
  17894  17903  18328  18335  18561  18569  18717  18724  18766  18775
  18785  18787  18789  18791  18793  18795  18797  18799  18801  18803
  18818  18827  19003  19008  19011  19015  19021  19023  19032  19052
  19075  19084  19290  19298  19670  19677  19856  19864  20155  20162
  20376  20382  20387  20392  20396  20442  20467  20482  20685  21001
  21009  21180  21192  21250  21270  21443  21452  21624  21633  21647
  21649  21650  21652  21655  21657  21660  21680  21689  21745  21755
  21771  21789  21864  21872  21939  21948  22186  22200  22242  22252
  22295  22305  22536  22548  22560  22566  22579  22602  22611  23774
  24073  24092  24196  24199  24207  24208  24230  24237  24238  24252
  24272  24280  24296  24307  24317  24322  24324  24333  24343  24353
  24364  24365  24367  24375  24381  24384  24388  24389  24397  24399
  24404  24406  24416  24419  24421  24423  24425  24427  24429  24431
  24432  24434  24436  24438  24440  24442  24444  24446  24447  24449
  24451  24453  24455  24457  24459  24461  24463  24465  24467  24469
  24471  24473  24475  24477  24479  24481  24483  24485  24487  24489
  24491  24492  24494  24496  24500  24502  24519  24541  24569  24578
  26159  26168  26989  26991  26993  26995  26997  27000  27013  27188
  27197  27446  27455  27467  27476  27503  27512  28442  28457  29461
  29468  30124  30133  30487  30496  31075  31083  31488  31498  31939
  31948  32217  32228  32605  33229  33238  33248  33264  34604  34613
  34943  34961  34989  34996  35393  35396  35401  36578  36585  36650
  36657  36763  36778  36799  36807  36817  36827  36871  36874  36957
  36967  36979  37015  37043  37058  37097  37099  37101  37103  37104
  37109  37155  37164  37188  37197  38119  38466  38471  38473  38475
  38477  38480  38482  38484  38486  38817  38818  38825  38835  38991
  38999  39806  39814  40000  40008  40036  40041  40049  40060  40062
  40070  40300  40723  40730  41145  41153  42153  42157  42165  42572
  43917  43925  45247  45254  47089  47674  47681  48114  48123  48405
  48407  48409  48412  48983  48990  49344  49351  50050  51105  51129
  52247  52251  52258  52261  52384  52391  52660  52669  53567  53569
  53576  53649  53651  53653  53655  53657  53659  53661  53663  53665
  53667  53669  53671  53673  53675  53677  53679  53681  53683  53685
  53934  54099  54117  56103  56112  59629  59637  60470  60483  62836
  62839  62847  63505  63512  64665  64674  65068  65078  65372  65389
  65494  65501  66190  66197  66199  66786  66794  67979  67991  68006
  68012  68130  70237  70243  71024  71031  73279  73286  73287  73390
  73392  73399  73401  73470  73476  73621  73629  73936  73949  74196
  74203  75305  75313  76701  76708  76803  76810  76834  76847  77549
  77556  78699  78711  79285  79292  82686  82694  85569  85576  88351
  88358  91184  92120  92122  92124  92131  92212  92214  92220  92223
  92321  92328  96670  96676  96683  96691  97838  98100  98113  98149
  98151  98154  98159  98176  98183  98497 100675 100682 100732 100739
 100861 100865 100869 100879]"	"[ 3563  4751  9010 17586 20111 20352 23401 26552 32120 37593 39749 46526
 67491 90506 97146]"	100231.0	15.0	724.0	0.9928284879401713	0.9998503680944876	0.0001496319055124394
16272	[       1       73      199 ... 10802593 10802693 10802777]	[      79      205      328 ...  3186287  9986930 10548605]										
16273	[      9      87     164 ... 9516519 9516612 9516699]	[     15      93     171 ... 9516525 9516618 9516709]	[    0     1     2 ... 90094 90095 90096]	[    0     1     2 ... 89778 89779 89780]	"[   54   242   247   249   252   411   416   423   508   518  1265  1270
  1275  1277  1283  1286  1298  1302  1306  3514  3522  4105  4113  5128
  5141  5248  5256  5266  5267  5268  5272  6496  6505  6964  6966  6976
  7018  7024  7034  7144  7148  7154  7290  8739 12567 12568 12577 12790
 13482 13736 13737 14048 14058 14517 14519 14521 14523 14525 14527 14530
 14949 14959 14993 14997 15001 15008 15013 15017 15529 15533 15538 16597
 16605 17612 17623 17626 17630 17641 17651 17819 17826 17836 17842 17844
 17898 17904 18715 18717 18724 19288 19293 19297 19300 19320 19322 19324
 19335 19336 19348 19375 19383 19409 19416 19423 20553 20555 20558 20560
 20565 20595 20702 20712 20732 20755 20769 20770 20772 20774 20776 20778
 20780 20781 20783 20785 20787 20789 20791 20793 20795 20797 20799 20801
 20803 20805 20807 20809 20811 20813 20815 20817 20819 20821 20823 20825
 20827 20829 20831 20833 20835 20837 20839 20841 20843 20845 20847 20849
 20851 20853 20855 20857 20859 20864 20875 21035 21037 21039 21044 21047
 22597 22603 24397 24404 24721 24732 24781 24791 24799 25096 25104 28710
 28711 28714 28717 28719 28723 30334 30348 30398 30409 30447 30455 30480
 30487 30511 30519 30633 30642 31438 31442 31446 32506 32515 32525 32529
 32534 32535 32689 32698 32863 32872 34739 34741 34745 34751 36397 36398
 36404 36423 36428 36432 37167 37186 39290 39298 45071 45073 45076 45081
 45083 45118 45127 45262 45269 45292 45299 47224 47231 47653 47660 48053
 48059 48960 48968 50189 50196 51820 51827 52124 52125 52133 52290 52296
 53552 53560 56941 56943 56951 56952 56987 57631 57640 57648 57656 57793
 57802 57812 57888 57890 57897 57981 57992 59323 59324 59327 59329 59333
 59335 59360 59368 62219 62221 71003 74582 74594 74595 74599 74605 74607
 78669 78670 78948 78953 78957 78963 82268 82275 83487 85246 85254 85388
 85745 85747 85748 85751 85753 85756 85759 87276 87279 87281 87283 87285
 87287 87291 87292 89004 89012]"	[5239]	89780.0	1.0	317.0	0.9964815698635915	0.9999888617859013	1.1138214098751407e-05
16420	[     68     148     228 ... 9953381 9953468 9953510]	[     75     156     235 ... 9953299 9953388 9953476]	[     0      1      2 ... 102432 102433 102434]	[     0      1      2 ... 101844 101845 101846]	"[   307    318    320    334    387    396   2786   2794   2966   3031
   3040   3384   3392   4396   4400   4405   4549   6063   6072   6523
   6532   6549   6551   6555   6557   6562   6563   6690   6730   6736
   6740   6741   6748   6750   6792   6801   6839   7338   7343   7348
   7525   7532   7667   7674   7895   8258   8266  10859  10866  18368
  18376  19559  19567  20203  20533  20541  20550  20551  20560  20562
  20570  20578  20906  20916  20919  20928  21097  21099  21103  21107
  21274  21283  21418  21526  21529  21531  21533  21535  21537  21539
  21541  21543  21545  21547  21549  21551  21553  21555  21557  21559
  21561  21563  21565  21567  21569  21571  21573  21575  21577  21579
  21581  21583  21585  21587  21589  21591  21593  21595  21597  21599
  21601  21603  21605  21607  21609  21611  21613  21615  21617  21619
  21621  21622  21624  21625  21627  21629  21630  21632  21634  21635
  21637  21638  21640  21642  21644  21646  21648  21650  21684  21714
  21716  21726  21727  22195  22198  22201  22204  22207  22210  22212
  22214  22216  22219  22236  22239  22242  22244  22247  22250  22252
  22254  22256  22258  22260  22262  22264  22266  22268  22270  22272
  22274  22276  22278  22280  22283  22286  22289  22292  22306  22309
  22313  22315  22318  22320  22322  22324  22326  22328  22330  22332
  22334  22335  22337  22339  22341  22343  22344  22346  22348  22350
  22352  22354  22356  22358  22365  22367  22369  22371  22374  22376
  22378  22380  22382  22384  22386  22388  22390  22392  22394  22396
  22398  22400  22402  22404  22406  22408  22410  22412  22414  22416
  22418  22420  22422  22424  22426  22428  22430  22432  22434  22436
  22438  22440  22442  22444  22446  22448  22450  22452  22454  22456
  22458  22460  22462  22463  22465  22467  22469  22471  22473  22474
  22476  22478  22480  22482  22484  22486  22488  22490  22492  22494
  22496  22498  22500  22502  22504  22506  22507  22509  22511  22513
  22515  22517  22519  22521  22523  22525  22527  22528  22530  22532
  22534  22536  22538  22540  22542  22543  22545  22547  22549  22551
  22553  22555  22559  22562  22565  22567  22571  22600  22604  22656
  22666  22669  22672  22676  22963  22972  23323  23780  23781  23790
  23792  23812  23824  23904  24004  24674  24682  24887  24895  25449
  25460  26220  26228  26271  26278  28725  28732  28825  28839  28848
  28851  28855  28859  28861  29007  29014  29040  29051  31207  31216
  31221  31302  31311  31343  31345  31348  31353  31523  31531  31823
  31824  31834  31836  31870  31883  31919  31925  31935  31936  33672
  33676  33813  33820  34030  34038  34786  34793  34802  34809  34966
  36598  36600  36607  36610  39962  39970  39980  39988  40001  40010
  40013  40083  40090  40142  40150  40193  40201  40237  40252  40256
  40261  40294  40298  40303  40310  40316  40317  40331  40333  40376
  40384  40465  40470  40475  40476  40654  40662  41070  43088  43091
  43094  43096  43098  43102  47245  47247  47254  47606  47611  47615
  47617  47670  47678  47681  47735  47743  47762  47772  47922  47923
  47931  48085  48094  48096  48605  48618  48642  48650  48684  48717
  48721  48726  48733  48840  48842  48855  48856  48862  48865  48868
  48870  48875  48887  49024  49032  49034  49043  49052  49076  49080
  49089  49094  49103  49160  49177  49346  49356  49522  49529  49675
  49711  49720  50681  50688  51738  51742  51748  51842  51851  51887
  51895  51905  51914  52452  52454  52457  52462  52464  52489  52498
  53144  53146  53153  53156  53204  53212  55008  55015  58063  58070
  58172  58179  59676  59684  62612  62619  62620  66496  66503  66534
  66541  66556  66562  67803  67809  70722  70729  70745  70748  70755
  70764  70767  70768  70772  70774  70776  70778  70781  70787  72740
  72752  72832  73059  73067  73083  73090  73398  74173  74179  78625
  78632  78648  78656  78658  78672  83037  83044  83375  83382  90234
  90241  90555  90564  90627  90634  91198  91205  91210  91217  95828
  95837  95856  95857  95864  95902  95911  95922  95935  95955  95963
  95965  96217  96224  96228  96237 102395 102404 102421 102435]"	[]	101847.0	0.0	589.0	0.9942500683353509	1.0	0.0
16483	[     18      99     178 ... 9740551 9740634 9740719]	[     19     102     182 ... 9740557 9740641 9740726]	[     0      1      2 ... 104558 104559 104560]	[     0      1      2 ... 104320 104321 104322]	"[    60     91    103    154    421    429   1276   1433   1440   1974
   1985   2026   2041   2044   2053   3192   3201   3858   3862   3867
   3868   3869   4010   4014   4016   4018   4020   4025   4028   4258
   4407   4416   4420   4429   4943   4951   5126   5138   5696   5705
   6050   6058   6765   6773   6865   6869   6873   6875   7078   7096
   8953   8961  11174  13183  13190  16272  16280  17108  17116  17262
  18234  18243  20064  20072  20094  20151  20155  20157  20159  20161
  20178  20180  20182  20184  20186  20188  20216  20218  20877  20885
  22211  22219  23468  24380  25108  25142  25150  25235  25255  25264
  25330  25338  25782  31806  31903  31911  32429  32441  32524  32533
  32635  32643  32951  33148  33154  33546  33554  38167  39035  39877
  39879  40449  40456  40838  40846  41392  41396  41401  42261  42712
  42898  42951  42959  43235  43566  44018  44025  44732  44739  46411
  46419  46451  46459  46744  46767  46774  47267  49136  49143  49458
  49979  50333  50986  51379  51588  51591  51594  51708  51858  51861
  51951  52111  52117  54311  54313  54315  54318  54320  54325  54383
  54384  54388  54389  54390  54392  54394  54398  54399  54572  54603
  54610  56534  57477  57684  57762  57769  57830  58006  58219  58229
  58367  58382  58643  60535  61340  61347  62548  64434  67598  68236
  68281  68293  68296  68298  68301  68303  68523  68535  68542  69394
  69395  70405  70412  70413  75580  75582  75680  75686  76928  76935
  78794  78796  79251  84830  85602  91819  92776  92778  92779  92782
  92786  92788  92791  93223  94057  97544  97988  98038  98122  98126
  98133  99977  99986 102360 102362 104393 104404 104411 104420]"	[51446]	104322.0	1.0	239.0	0.9977142529241304	0.9999904143860894	9.585613910642907e-06
16539	[      72      168      268 ... 10837587 10837734 10837764]	[      76      172      273 ... 10837483 10837591 10837739]	[     0      1      2 ... 108670 108671 108672]	[     0      1      2 ... 107896 107897 107898]	"[   272    279    551    565    568    575    816    823    828    836
   1201   1205   1210   1211   1263   1270   1538   1544   1822   1962
   1969   2024   2032   2831   2842   2843   2860   2869   2976   2984
   3415   3422   4404   4410   4417   6315   6323  10245  10251  10449
  10456  10462  10470  11462  11469  12522  12531  12583  12593  12598
  13238  13779  14078  14924  14932  15064  15072  15287  15296  15857
  15860  15980  15988  16308  16312  16316  16317  17447  17448  17452
  17457  18296  18303  18380  18388  18785  18792  18972  18980  19978
  19987  20304  20312  20753  20756  20760  20764  20766  20788  20790
  20792  20794  20796  20798  20800  20802  20805  20838  20840  20842
  20844  20846  20848  20850  20852  20854  20856  20858  20860  20862
  20864  20866  20868  20870  20872  20874  20876  20878  20880  20882
  20884  20886  20888  20890  20892  20894  20896  20898  20900  20902
  20904  20906  20908  20916  20918  20920  20922  20925  20932  20934
  20936  21392  21395  21428  21436  21439  21442  21445  21455  21671
  21679  21723  21727  21729  21745  21768  21777  22275  22284  22417
  22651  22661  22688  22690  22692  22694  22696  22698  22700  22702
  22704  22706  22708  22710  22712  22714  22716  22718  22720  22722
  22724  22726  22728  22730  22732  22734  22736  22738  22740  22742
  22744  22746  22748  22750  22753  22755  22757  22759  22764  22771
  22773  22775  22882  22891  22974  22982  24409  24417  24489  24495
  24502  24504  24604  24612  27391  27400  30127  30136  30289  30293
  30298  30743  30751  30770  30774  30776  30802  30804  30806  30808
  30810  30812  30814  30816  30818  30820  30822  30824  30826  30828
  30830  30832  30834  30836  30838  30840  30842  30844  30846  30848
  30850  30852  30854  30856  30858  30860  30862  30864  30865  30866
  30868  30870  30871  30873  30875  30877  30878  30879  30881  30883
  30885  30887  30889  30891  30893  30895  30897  30899  30901  30903
  30905  30907  30909  30911  30913  30915  30917  30919  30921  30923
  30925  30927  30929  30931  30933  30935  30937  30939  30941  30943
  30945  30947  30949  30951  30953  30955  30957  30958  30960  30962
  30965  30967  30969  30978  30980  31586  31594  31793  31804  31811
  31813  31817  31819  31821  31826  32111  32118  32623  32627  32634
  32635  32640  32678  32694  32746  32752  32756  32814  32822  32940
  32942  32944  32946  32948  32950  32953  32957  32966  32968  32970
  32972  32986  33341  33344  33346  33355  33356  33602  33616  33618
  33620  33622  33624  33626  33628  33630  33632  33634  33636  33638
  33640  33642  33644  33646  33648  33650  33652  33654  33656  33658
  33660  33662  33664  33666  33668  33670  33672  33674  33676  33678
  33680  33682  33684  33686  33688  33690  33692  33694  33696  33698
  33700  33702  33704  33706  33708  33713  33719  33726  33729  33738
  33740  34325  34326  34330  34332  34336  34337  34362  34369  35191
  35192  35200  36038  36040  36043  36070  36500  36511  36749  36757
  36930  36977  37144  37463  37464  37470  37474  37476  37478  37480
  37578  37586  37640  37642  37650  37651  38330  38423  38432  38890
  38898  39006  39014  39446  39449  39498  39502  39541  39549  39668
  39675  39686  39695  39732  39734  39736  39738  39740  39742  39745
  39747  39749  39751  39753  39755  39757  39901  39908  39940  39945
  39952  39953  40402  40405  40407  40421  40425  40577  40584  40601
  40607  41882  42879  42881  42887  42889  42904  42912  42934  42942
  43195  43199  43203  43882  43892  43899  43981  43988  44081  44089
  44257  44260  44262  44264  44266  44268  44270  44272  44274  44276
  44278  44280  44282  44284  44286  44288  44290  44292  44294  44296
  44298  44300  44302  44304  44306  44308  44310  44312  44314  44316
  44318  44320  44322  44324  44326  44328  44330  44332  44334  44336
  44338  44340  44342  44344  44346  44348  44350  44352  44354  45462
  45470  45483  45490  45555  45562  46722  46732  47847  47889  47896
  48699  48837  48845  48846  49189  49196  50930  50937  51227  51235
  51469  51477  51705  51710  51714  52458  52462  52466  52489  52496
  53582  53589  54172  54174  54179  54182  54193  54196  54205  54364
  54371  54830  54837  54959  54960  54969  54970  55078  55085  55111
  55118  55237  55238  55242  55246  55265  55272  55392  55398  55418
  55427  55652  55654  55656  55660  55690  55699  55726  55729  55731
  55733  55735  55737  55739  55741  55743  55745  55747  55749  55751
  55753  55755  55757  55759  55761  55763  55765  55766  55768  55770
  55772  55774  55776  55777  55779  55781  55783  55785  55788  56244
  56256  56314  56316  56324  56325  56668  56670  56672  56674  56676
  56678  56680  56682  56684  56686  56688  56690  56692  56695  56697
  56723  56757  57001  57009  57917  57925  58073  59157  59175  60209
  60216  61377  61385  62261  62269  62413  65161  66029  66037  66045
  66276  66282  66290  66300  66314  66321  66418  66432  67210  67218
  67441  67459  67520  67538  67592  67599  67686  67689  67691  67696
  67704  67709  67711  67714  67733  67740  67830  67838  68147  68154
  68426  69191  69198  69236  69238  69243  69249  69254  70247  70254
  70288  70291  70297  70301  70892  70900  71498  71505  72445  72583
  72589  72590  72599  72602  72664  72672  72716  72724  72883  72891
  73398  73405  74715  74723  74727  74734  74750  74764  74846  74853
 103559 103565 108605 108613 108673]"	[]	107899.0	0.0	775.0	0.9928685794210207	1.0	0.0
16773	[       1       50       90 ... 10002106 10002148 10002201]	[      57      162      269 ... 10001992 10002112 10002208]										
16786	[      16       87      195 ... 10758439 10758536 10758639]	[      93      201      311 ... 10758445 10758542 10758644]	[     1      2      3 ... 101736 101737 101738]	[     0      1      2 ... 101626 101627 101628]	"[     0     54    208    913    957    959   2804   4983   4991   5024
   5034   5044   5052   5092   6592   6600  11959  11961  11963  11978
  11998  12002  12013  12019  12021  12023  12026  12032  12034  12494
  12911  12918  12923  13333  13340  22900  22913  23660  23668  27577
  27586  27611  27618  27624  27632  28721  28733  30026  30035  30222
  48094  48101  50694  50701  54224  54226  54229  54231  54234  54236
  54310  54317  56923  56931  56938  56942  74206  84190  84197  87158
  87164  87688  87695  87770  87777  88204  88215  88723  88730  90771
  90778  91169  91175  91221  91227  93566  93573  93580  93587  93641
  93648  97263  97273  98019  98022  98027  98030  98392  98395  98399
  98403  99982  99989 100011 100024 100032 100039 100281 100288 100289]"	[]	101629.0	0.0	110.0	0.9989188020326522	1.0	0.0
16795	[     11      58     118 ... 9567523 9567587 9567651]	[     21     129     239 ... 9566052 9566423 9567663]	[    0     2     4 ... 87658 87659 87662]	[    0     1     2 ... 86652 86653 86654]	[    1     3     5 ... 87675 87676 87677]	[ 2090 31123 85838 86655]	86652.0	4.0	1026.0	0.988298090741121	0.9999538404726735	4.615952732644018e-05
17052	[     35     150     264 ... 9779088 9779185 9779269]	[     43     157     272 ... 9778995 9779093 9779193]	[    0     1     2 ... 87998 87999 88000]	[    0     1     2 ... 87551 87552 87553]	"[  158   237  2938  2945  3095  3103  3463  3522  3525  3527  3529  3642
  3649  3866  3873  4043  4050  4309  5886  5890  5896  6192  6197  6823
  7577  7585  7622  7629  7845  7848  7850  8023  8029  8794  8800  8923
  8930  8972  8980  9971  9978 10009 10017 11502 11655 12352 12362 13116
 13127 13292 13315 14129 14137 15526 15534 15541 16316 16333 16479 16487
 16759 16767 17388 17394 17455 17599 17606 17754 17766 19055 19078 19080
 19082 19087 19089 19114 19126 19134 19142 19149 20377 20384 21338 21345
 21759 21765 21984 22224 22231 24919 24926 24937 24938 24945 24951 26609
 26615 28423 28430 28479 28486 28771 28778 28920 28927 28940 28949 28970
 28978 29738 29745 29820 29831 29989 30080 30084 30088 30094 30170 30177
 30203 30212 30220 30222 30232 30233 30489 30490 30497 30499 30608 30615
 30926 30933 30991 30998 31017 31024 31135 31145 31153 31155 31161 31168
 31232 31239 31277 31278 31286 31290 31426 31433 31514 31551 31558 32624
 32640 32646 32759 32766 32928 32935 33221 33228 33247 33254 33276 33284
 33289 33303 33308 33320 33323 33330 33342 33350 33597 33605 33701 33709
 34603 34609 35277 35279 35531 35537 35583 35589 35646 40292 40298 45471
 45478 46863 46869 47029 47042 47629 47637 49661 49667 50105 50112 50241
 50251 50301 50308 50312 51545 51548 51550 51552 51554 51556 51557 51600
 51616 51618 51652 51654 51660 51661 51675 51698 51703 51706 68102 68109
 69519 69521 69525 69529 69535 69735 69741 69767 69769 69775 69779 69783
 69793 69797 69800 69814 69866 69874 69982 69988 70097 70105 70682 70683
 70686 70716 70730 70731 70734 70827 70833 70836 70838 70851 70856 70962
 70964 71486 71488 71489 71490 71493 71530 71532 71533 71547 71553 71743
 71745 71747 71752 71754 71756 71758 71760 71815 71830 72333 72338 72573
 72575 72970 72979 73281 73287 73659 73844 74263 74268 74273 74789 74827
 74834 76570 76597 76969 76971 76978 77039 77050 77102 77113 77116 77208
 77215 77548 77737 77749 77756 77910 78107 78136 78142 78911 78919 78974
 78982 79233 79242 80249 81261 81268 81333 81340 81366 81374 82204 83012
 83019 83028 83037 83044 83054 83061 83106 83113 83121 83131 83142 83149
 83151 83162 83171 83188 83209 83395 83402 83461 83469 83484 83489 83490
 83495 83500 83501 83572 83580 83755 83756 83759 83763 83832 83840 83905
 83912 84911 84919 85886 85888 85894 85897 85912 85916 85920 85923 86103
 86117 86154 86157 86170 86173 86182 86217 86285 86289 86294 86301 86308
 86329 86334 86344 86352 86358 86367 86381 86384 86395 86415 86426 86452
 86455 86461 86463 86473 86476 86482 86486 86554 86561 86590 86597 86644
 86650 86662 86669 86713 86720 86744 86750 86800 86811 86818 86833 86841
 86848 86861 86917 86924 86926 86957 86963 87001 87007 87180 87187 87663
 87670 87882 87889 88001]"	[]	87554.0	0.0	448.0	0.9949092066089407	1.0	0.0
